relation	product_status	enterprise_status	product_bytes	enterprise_bytes	product_sha256	enterprise_sha256	path
identical	modified	modified	1942	1942	0021bc3881ca94793ec31e2c0939f0d49f12fb23cdb2b677be9200d4a392a6cf	0021bc3881ca94793ec31e2c0939f0d49f12fb23cdb2b677be9200d4a392a6cf	README.md
identical	untracked	untracked	9100	9100	24bf39ad06c154e685415153ca7f36f88ab2b4d7044bfe1f4c942d6a8c2c53f6	24bf39ad06c154e685415153ca7f36f88ab2b4d7044bfe1f4c942d6a8c2c53f6	docs/acceptance/R10-harness-0.1.1-rc.2.md
identical	untracked	untracked	4097	4097	ee49efecbf6f68e8e2fbd9af634bbec7e5a7eca4e3f3d2f0cb684a0e77cf24de	ee49efecbf6f68e8e2fbd9af634bbec7e5a7eca4e3f3d2f0cb684a0e77cf24de	docs/acceptance/R11-conversation-artifact-renderer.md
divergent	modified	modified	19958	25237	2934724d943e432f6e5d56ebd3a1fec1628e4e92c4b1d96c6a833fd83f83aa18	3194c668e4ecc0edcdccc5acb23f218dcabe2884fba3b44533e763ce6d7de651	docs/acceptance/baseline-remediation/api-snapshot.json
divergent	modified	modified	22708	21994	c48c14f2ac2b0269647fadea958f8ba7de087a79abfb54b1f2f89d3b4dc1b0eb	619c8486f495347b3116c3ec7d7c9509a98814f0db6653bc7f1cd902a03bbb70	docs/architecture/plugin-framework.md
identical	untracked	untracked	901	901	ce210e2e2c66bfcac41d47fc4cf4c0a0fee7cdcbae8436ec467880452237726f	ce210e2e2c66bfcac41d47fc4cf4c0a0fee7cdcbae8436ec467880452237726f	docs/compatibility/bundle-budget.json
identical	modified	modified	4009	4009	b83793b42e10f2ff0e9e5c2559f46f9afa855166e8d985b72b430821765dd9fd	b83793b42e10f2ff0e9e5c2559f46f9afa855166e8d985b72b430821765dd9fd	docs/compatibility/matrix.md
divergent	modified	modified	4117	5260	48ef464589eebf39dc1818d6836a034c20a700ab0b590d8c08096c1eb44f0a0a	6a168d9ad329a0ebb9ecbd81bd4043376245b885175952acc79d555feaf94d19	docs/standards/package-roles.json
divergent	modified	modified	2436	2635	dd3d05e47daa2161eae41502ff1abf8b1b9dc0d69f097309f694511c055003b3	1736409de2409223854405aa50a8d8f734986e4ab9c11f5c1cc5743c348c7b5e	package.json
divergent	modified	modified	1409	1568	171d0205871109c678717adf57d0125347e8c79380dcad46dfaff4c6d405bcf9	af3d70178abf5b7e3e1135629722b20312f10008f4f113074b946ce45138a104	packages/agent-builder/package.json
divergent	modified	modified	49304	70475	b672e2925d6be878c2b81e80a604c28616caa1922fd48823db8388a6ed5148b4	0b24228bbc136069646ec8dcb9cf2c9bccd01fc85fa12b1a6d6df7371a549fc7	packages/agent-builder/src/index.ts
divergent	modified	modified	5931	7433	f4b728537052e8b3c2b64b2c3945f852511b05987b7bc55ba6b2e9f53e69beae	acb677b9b5e0d2a3155b7d8f4106bb3bbbb8898526016ffaa568c1adc7dd3710	packages/agent-builder/src/remote.ts
divergent	modified	modified	34845	51921	a6e2740442230e73f7f6618bf09af7efdb8ec2ab8380b27d7eaefbe50b37ee03	cd5f5fda8a1a4213cc7f9a5061c8d9b8c67cd023afb2d5a5159147f19ff3977d	packages/agent-builder/tests/builder.spec.ts
divergent	modified	modified	1846	1814	2b31d6b2828729d57581bf87267f1d5495301b5e0e5737b01b7939f7bbb07398	3eea487c7cd086c5fc20c6692b51572280c9ce18fb47161bdc9b5482bad41aee	packages/agent-market/package.json
identical	untracked	untracked	11255	11255	33bb3aed1696ecccf25227c1ab8aaa6b05d6cb45ee424242707b28a8b831f987	33bb3aed1696ecccf25227c1ab8aaa6b05d6cb45ee424242707b28a8b831f987	packages/agent-market/src/client/authoring-session.ts
divergent	modified	modified	161962	176961	9d1b48e703a8442324ee232877bce8914db241f6090a8f8931a665e591fded7a	c3c7e5001274d9513a215b62c4655a46523d42ec33e686dbdb95c09d38354193	packages/agent-market/src/client/index.tsx
divergent	modified	modified	64453	69918	7bf006c697621e861cf34a068454008dea5afaa94f00cea3ef7e98eb7244a51a	1feb5bb5c0dc46d174810ddb9b88279864cf7a0e4031872d798ada0e685a5314	packages/agent-market/src/client/styles.ts
divergent	modified	modified	98583	109409	484da22c4bff85f0214d229fdf9ad28dddadd70e298958de6721937e499b53cf	ab57e35838a0ea426a1959b78e7628cb59ad54fee20444b156e5b4c2affdfd49	packages/agent-market/tests/client.spec.tsx
identical	modified	modified	884	884	39a5d76181c03f2b369191c0bb833419cde2c26082af39eb685c4b3a900d507c	39a5d76181c03f2b369191c0bb833419cde2c26082af39eb685c4b3a900d507c	packages/artifact-runtime/package.json
identical	modified	modified	23053	23053	af7f3039c8eb5531cfbe5ad3f711c0642b65c13c67cddb5c44e3bcfaee452110	af7f3039c8eb5531cfbe5ad3f711c0642b65c13c67cddb5c44e3bcfaee452110	packages/artifact-runtime/src/index.ts
identical	modified	modified	9461	9461	ee396a70d1316e409f93b3bda07c72523af68a1d0a8533d9678c76aba4ab788b	ee396a70d1316e409f93b3bda07c72523af68a1d0a8533d9678c76aba4ab788b	packages/artifact-runtime/tests/execution.spec.ts
identical	modified	modified	4722	4722	557415e075b88f143c3f5e2cb168e39e88148f8636cbf4efa390d2f90bdc43f8	557415e075b88f143c3f5e2cb168e39e88148f8636cbf4efa390d2f90bdc43f8	packages/artifact-runtime/tests/projection.spec.ts
identical	modified	modified	1747	1747	2db68d964c526200b22b0729613ac195bd86a6933335bac2decbaba27dc8afb1	2db68d964c526200b22b0729613ac195bd86a6933335bac2decbaba27dc8afb1	packages/artifacts/package.json
divergent	modified	modified	28244	26477	291045e7348650e42fda514e2c58e45b330a1da2f4906a57dbdbf3764a624f3e	a52da34fdd5cb64fe845e58829737a6c8177dd4048c229bac1b9cccaeed68955	packages/artifacts/src/client/index.tsx
